query,recall,d1,dk,spread,orphan_neighbours
433,0.7000,2.4110,2.5696,1.0658,0
434,0.8000,0.8726,0.8973,1.0283,0
435,0.5000,1.8895,2.0277,1.0731,0
436,0.3000,0.9398,0.9719,1.0341,0
437,1.0000,0.5804,0.6187,1.0659,0
438,0.9000,1.3073,1.3323,1.0191,0
439,0.3000,1.6757,1.7423,1.0397,1
440,0.4000,1.0718,1.1051,1.0310,0
441,1.0000,1.3451,1.4050,1.0445,0
442,0.6000,1.2908,1.3307,1.0309,0
443,0.7000,1.1424,1.1808,1.0336,0
444,0.9000,1.1932,1.2787,1.0717,0
445,0.4000,1.0604,1.1157,1.0522,0
446,0.6000,1.2749,1.3382,1.0497,0
447,0.7000,1.3086,1.3483,1.0304,0
448,0.3000,1.2564,1.3135,1.0454,0
449,1.0000,1.3169,1.3965,1.0604,0
450,1.0000,0.7476,0.7671,1.0261,0
451,1.0000,0.7480,0.7660,1.0241,0
452,0.8000,0.8355,0.8728,1.0446,0
453,1.0000,0.7286,0.7808,1.0717,0
454,0.5000,1.2205,1.2544,1.0278,0
455,0.8000,0.9909,1.0242,1.0336,0
456,0.3000,1.2237,1.2752,1.0421,0
457,0.6000,1.0623,1.1266,1.0606,0
458,0.6000,0.8561,0.9175,1.0718,0
459,0.9000,0.9703,1.0470,1.0790,0
460,0.9000,1.4033,1.4424,1.0279,0
461,1.0000,1.3297,1.4231,1.0702,0
462,1.0000,0.9367,0.9873,1.0541,0
463,0.6000,1.1031,1.1273,1.0220,0
464,1.0000,1.6129,1.7328,1.0744,0
465,0.8000,1.2581,1.3352,1.0613,0
466,0.9000,2.0114,2.0843,1.0363,0
467,0.9000,1.1084,1.2014,1.0839,0
468,0.6000,1.2354,1.2891,1.0435,0
469,1.0000,0.6351,0.6471,1.0189,0
470,0.6000,1.2246,1.3283,1.0846,0
471,1.0000,0.9024,0.9745,1.0798,0
472,0.9000,1.4264,1.4496,1.0163,0
473,0.7000,0.9992,1.0350,1.0359,0
474,0.6000,1.4744,1.5345,1.0408,0
475,0.9000,0.9677,1.0447,1.0795,0
476,0.6000,1.1119,1.1387,1.0241,0
477,0.4000,1.4221,1.4558,1.0237,0
478,0.8000,1.1095,1.1651,1.0501,0
479,0.8000,0.9303,0.9956,1.0702,0
480,1.0000,0.7342,0.7503,1.0220,0
481,1.0000,0.7528,0.7638,1.0146,0
482,0.8000,1.2037,1.2672,1.0528,0
483,0.8000,0.9930,1.0322,1.0395,0
484,1.0000,0.5167,0.5527,1.0697,0
485,1.0000,0.2566,0.3153,1.2287,0
486,1.0000,0.3275,0.3447,1.0525,0
487,0.3000,1.6363,1.6899,1.0328,0
488,0.5000,1.1128,1.1726,1.0537,0
489,1.0000,0.9662,1.0553,1.0923,0
490,0.7000,1.0690,1.1035,1.0323,0
491,0.7000,1.0912,1.1322,1.0376,0
492,0.8000,1.0705,1.0979,1.0256,0
493,0.7000,1.3236,1.3729,1.0372,0
494,1.0000,1.2536,1.3060,1.0418,0
495,0.9000,0.8514,0.9553,1.1221,0
496,1.0000,0.3279,0.3996,1.2186,0
497,1.0000,0.7361,0.8487,1.1531,0
498,0.3000,1.3948,1.4482,1.0383,1
499,1.0000,1.2199,1.3121,1.0756,0
500,1.0000,0.2609,0.2834,1.0859,0
501,1.0000,0.8206,0.8438,1.0283,0
