query,recall,d1,dk,spread,orphan_neighbours
396,1.0000,212.7980,225.7942,1.0611,0
397,0.8000,238.3946,264.0985,1.1078,0
398,0.9000,221.5559,237.5437,1.0722,0
399,1.0000,145.5507,193.8014,1.3315,0
400,1.0000,206.4728,235.7880,1.1420,0
401,0.7000,237.7562,262.4348,1.1038,0
402,1.0000,185.5613,280.8701,1.5136,0
403,1.0000,192.4370,227.0485,1.1799,0
404,1.0000,171.1900,190.1289,1.1106,0
405,0.8000,242.8662,262.1526,1.0794,0
406,1.0000,222.9215,244.1864,1.0954,0
407,1.0000,241.0498,253.4068,1.0513,0
408,1.0000,171.7964,189.8947,1.1053,0
409,0.9000,205.7377,226.3294,1.1001,0
410,1.0000,199.1733,220.8099,1.1086,0
411,1.0000,204.3404,236.2562,1.1562,0
412,0.9000,245.9675,266.4883,1.0834,0
413,0.9000,224.5863,246.3859,1.0971,0
414,1.0000,165.2453,243.5796,1.4740,0
415,0.9000,208.3771,228.6045,1.0971,0
416,1.0000,210.0214,225.8030,1.0751,0
417,1.0000,231.5038,257.2256,1.1111,0
418,0.8000,283.1872,288.5204,1.0188,0
419,1.0000,222.2184,246.2560,1.1082,0
420,0.9000,193.8427,248.1471,1.2801,0
421,1.0000,212.9812,221.0656,1.0380,0
422,1.0000,209.3848,243.7253,1.1640,0
423,1.0000,250.2579,271.8695,1.0864,0
424,0.9000,240.7883,259.2046,1.0765,0
425,0.9000,232.9764,269.3808,1.1563,0
426,1.0000,195.2511,207.5620,1.0631,0
427,1.0000,223.7409,239.7228,1.0714,0
428,1.0000,221.9707,255.5230,1.1512,0
429,1.0000,253.6592,286.2429,1.1285,0
430,1.0000,231.8707,252.6242,1.0895,0
431,0.9000,223.2958,237.8949,1.0654,0
432,1.0000,219.9091,274.1660,1.2467,0
433,0.7000,221.0294,234.6274,1.0615,0
434,1.0000,162.4377,224.6976,1.3833,0
435,1.0000,220.3996,230.9805,1.0480,0
436,1.0000,152.6860,220.4495,1.4438,0
